Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil
Amanda Gentil;PP;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;862;Brasília - DF - CEP 70160-900;3215-5862;3215-2862;12;25;dep.amandagentil@camara.leg.br;Amanda Gentil;Exma. Senhora Deputada;AMANDA KELLY GENTIL GUIMARÃES ROSA
Amaro Neto;REPUBLICANOS;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;223;Brasília - DF - CEP 70160-900;3215-5223;3215-2223;12;04;dep.amaroneto@camara.leg.br;Amaro Neto;Exmo. Senhor Deputado;AMARO ROCHA NASCIMENTO NETO
Amom Mandel;CIDADANIA;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;760;Brasília - DF - CEP 70160-900;3215-5760;3215-2760;01;02;dep.amommandel@camara.leg.br;Amom Mandel;Exmo. Senhor Deputado;AMOM MANDEL LINS FILHO
Ana Paula Leão;PP;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;658;Brasília - DF - CEP 70160-900;3215-5658;3215-2658;08;22;dep.anapaulaleao@camara.leg.br;Ana Paula Leao;Exma. Senhora Deputada;ANA PAULA PROCOPIO JUNQUEIRA
Ana Paula Lima;PT;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;206;Brasília - DF - CEP 70160-900;3215-5206;3215-2206;04;19;dep.anapaulalima@camara.leg.br;Ana Paula Lima;Exma. Senhora Deputada;ANA PAULA DE SOUZA LIMA
Ana Pimentel;PT;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;234;Brasília - DF - CEP 70160-900;3215-5234;3215-2234;05;15;dep.anapimentel@camara.leg.br;Ana Pimentel;Exma. Senhora Deputada;ANA CRISTINA DE LIMA PIMENTEL
André Ferreira;PL;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;450;Brasília - DF - CEP 70160-900;3215-5450;3215-2450;12;10;dep.andreferreira@camara.leg.br;Andre Ferreira;Exmo. Senhor Deputado;ANDRÉ FERREIRA RODRIGUES
André Figueiredo;PDT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;940;Brasília - DF - CEP 70160-900;3215-5940;3215-2940;11;10;dep.andrefigueiredo@camara.leg.br;Andre Figueiredo;Exmo. Senhor Deputado;ANDRÉ PEIXOTO FIGUEIREDO LIMA
André Janones;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;687;Brasília - DF - CEP 70160-900;3215-5687;3215-2687;05;05;dep.andrejanones@camara.leg.br;Andre Janones;Exmo. Senhor Deputado;ANDRE LUIS GASPAR JANONES
Andreia Siqueira;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;408;Brasília - DF - CEP 70160-900;3215-5408;3215-2408;08;19;dep.andreiasiqueira@camara.leg.br;Andreia Siqueira;Exma. Senhora Deputada;ANDREIA BRITO GONÇALVES SIQUEIRA
Antônia Lúcia;REPUBLICANOS;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;544;Brasília - DF - CEP 70160-900;3215-5544;3215-2544;07;17;dep.antonialucia@camara.leg.br;Antonia Lucia;Exma. Senhora Deputada;ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA
Antonio Andrade;REPUBLICANOS;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;540;Brasília - DF - CEP 70160-900;3215-5540;3215-2540;10;22;dep.antonioandrade@camara.leg.br;Antonio Andrade;Exmo. Senhor Deputado;ANTONIO POINCARE ANDRADE FILHO
Antonio Brito;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;985;Brasília - DF - CEP 70160-900;3215-5985;3215-2985;01;17;dep.antoniobrito@camara.leg.br;Antonio Brito;Exmo. Senhor Deputado;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO
Antonio Carlos Rodrigues;PL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;683;Brasília - DF - CEP 70160-900;3215-5683;3215-2683;05;17;dep.antoniocarlosrodrigues@camara.leg.br;Antonio Carlos Rodrigues;Exmo. Senhor Deputado;ANTONIO CARLOS RODRIGUES
Antônio Doido;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;460;Brasília - DF - CEP 70160-900;3215-5460;3215-2460;08;26;dep.antoniodoido@camara.leg.br;Antonio Doido;Exmo. Senhor Deputado;ANTONIO LEOCÁDIO DOS SANTOS
Any Ortiz;CIDADANIA;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;810;Brasília - DF - CEP 70160-900;3215-5810;3215-2810;10;19;dep.anyortiz@camara.leg.br;Any Ortiz;Exma. Senhora Deputada;ANY MACHADO ORTIZ
Arlindo Chinaglia;PT;SP;T;Câmara dos Deputados, Edifício Anexo;0;, gabinete nº;4;Brasília - DF - CEP 70160-900;3215-5966;3215-5966;12;24;dep.arlindochinaglia@camara.leg.br;Arlindo Chinaglia;Exmo. Senhor Deputado;ARLINDO CHIGNALIA JUNIOR
Arnaldo Jardim;CIDADANIA;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;245;Brasília - DF - CEP 70160-900;3215-5245;3215-2245;05;08;dep.arnaldojardim@camara.leg.br;Arnaldo Jardim;Exmo. Senhor Deputado;ARNALDO CALIL PEREIRA JARDIM
Arthur Lira;PP;AL;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;942;Brasília - DF - CEP 70160-900;3215-5942;3215-2942;06;25;dep.arthurlira@camara.leg.br;Arthur Lira;Exmo. Senhor Deputado;ARTHUR CÉSAR PEREIRA DE LIRA
Arthur Oliveira Maia;UNIÃO;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;830;Brasília - DF - CEP 70160-900;3215-5830;3215-2830;08;17;dep.arthuroliveiramaia@camara.leg.br;Arthur Oliveira Maia;Exmo. Senhor Deputado;ARTHUR DE OLIVEIRA MAIA DA SILVA
Átila Lins;PSD;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;730;Brasília - DF - CEP 70160-900;3215-5730;3215-2730;11;22;dep.atilalins@camara.leg.br;Atila Lins;Exmo. Senhor Deputado;ÁTILA SIDNEY LINS DE ALBUQUERQUE
Átila Lira;PP;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;640;Brasília - DF - CEP 70160-900;3215-5640;3215-2640;04;01;dep.atilamlira@camara.leg.br;Atila Lira;Exmo. Senhor Deputado;ÁTILA DE MELO LIRA
Augusto Coutinho;REPUBLICANOS;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;314;Brasília - DF - CEP 70160-900;3215-5314;3215-2314;10;22;dep.augustocoutinho@camara.leg.br;Augusto Coutinho;Exmo. Senhor Deputado;AUGUSTO RODRIGUES COUTINHO DE MELO
Augusto Puppio;MDB;AP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;445;Brasília - DF - CEP 70160-900;3215-5445;3215-2445;05;09;dep.augustopuppio@camara.leg.br;Augusto Puppio;Exmo. Senhor Deputado;JOSÉ AUGUSTO PUPPIO REIS JÚNIOR
Aureo Ribeiro;SOLIDARIEDADE;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;212;Brasília - DF - CEP 70160-900;3215-5212;3215-2212;02;17;dep.aureoribeiro@camara.leg.br;Aureo Ribeiro;Exmo. Senhor Deputado;AUREO LIDIO MOREIRA RIBEIRO
Bacelar;PV;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;783;Brasília - DF - CEP 70160-900;3215-5783;3215-2783;07;09;dep.bacelar@camara.leg.br;Bacelar;Exmo. Senhor Deputado;JOAO CARLOS BACELAR BATISTA
Baleia Rossi;MDB;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;829;Brasília - DF - CEP 70160-900;3215-5829;3215-2829;06;09;dep.baleiarossi@camara.leg.br;Baleia Rossi;Exmo. Senhor Deputado;LUIZ FELIPE BALEIA TENUTO ROSSI
Bandeira de Mello;PSB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;804;Brasília - DF - CEP 70160-900;3215-5804;3215-2804;03;22;dep.bandeirademello@camara.leg.br;Bandeira de Mello;Exmo. Senhor Deputado;EDUARDO CARVALHO BANDEIRA DE MELLO
Bebeto;PP;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;821;Brasília - DF - CEP 70160-900;3215-5821;3215-2821;07;31;dep.bebeto@camara.leg.br;Bebeto;Exmo. Senhor Deputado;Carlos Roberto Rodrigues
Benedita da Silva;PT;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;330;Brasília - DF - CEP 70160-900;3215-5330;3215-2330;04;26;dep.beneditadasilva@camara.leg.br;Benedita da Silva;Exma. Senhora Deputada;BENEDITA SOUZA DA SILVA SAMPAIO
Benes Leocádio;UNIÃO;RN;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;724;Brasília - DF - CEP 70160-900;3215-5724;3215-2724;04;22;dep.benesleocadio@camara.leg.br;Benes Leocadio;Exmo. Senhor Deputado;LUIZ BENES LEOCADIO DE ARAUJO
Beto Pereira;PSDB;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;240;Brasília - DF - CEP 70160-900;3215-5240;3215-2240;11;14;dep.betopereira@camara.leg.br;Beto Pereira;Exmo. Senhor Deputado;HUMBERTO REZENDE PEREIRA
Beto Richa;PSDB;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;521;Brasília - DF - CEP 70160-900;3215-5521;3215-2521;07;29;dep.betoricha@camara.leg.br;Beto Richa;Exmo. Senhor Deputado;CARLOS ALBERTO RICHA
Bia Kicis;PL;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;309;Brasília - DF - CEP 70160-900;3215-5309;3215-2309;09;19;dep.biakicis@camara.leg.br;Bia Kicis;Exma. Senhora Deputada;BEATRIZ KICIS TORRENTS DE SORDI
Bibo Nunes;PL;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;518;Brasília - DF - CEP 70160-900;3215-5518;3215-2518;01;09;dep.bibonunes@camara.leg.br;Bibo Nunes;Exmo. Senhor Deputado;ALCIBIO MESQUITA BIBO NUNES
Bohn Gass;PT;RS;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;873;Brasília - DF - CEP 70160-900;3215-5873;3215-2873;02;05;dep.bohngass@camara.leg.br;Bohn Gass;Exmo. Senhor Deputado;ELVINO JOSÉ BOHN GASS
Bruno Farias;AVANTE;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;637;Brasília - DF - CEP 70160-900;3215-5637;3215-2637;10;07;dep.brunofarias@camara.leg.br;Bruno Farias;Exmo. Senhor Deputado;BRUNO SOUZA FARIAS
Bruno Ganem;PODE;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;201;Brasília - DF - CEP 70160-900;3215-5201;3215-2201;09;15;dep.brunoganem@camara.leg.br;Bruno Ganem;Exmo. Senhor Deputado;BRUNO AREVALO GANEM
Cabo Gilberto Silva;PL;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;350;Brasília - DF - CEP 70160-900;3215-5350;3215-2350;04;01;dep.cabogilbertosilva@camara.leg.br;Cabo Gilberto Silva;Exmo. Senhor Deputado;GILBERTO GOMES DA SILVA
Camila Jara;PT;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;860;Brasília - DF - CEP 70160-900;3215-5860;3215-2860;02;10;dep.camilajara@camara.leg.br;Camila Jara;Exma. Senhora Deputada;CAMILA BAZACHI JARA MARZOCHI
Capitão Alberto Neto;PL;AM;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;946;Brasília - DF - CEP 70160-900;3215-5946;3215-2946;05;05;dep.capitaoalbertoneto@camara.leg.br;Capitao Alberto Neto;Exmo. Senhor Deputado;ALBERTO BARROS CAVALCANTE NETO
Capitão Alden;PL;BA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;127;Brasília - DF - CEP 70160-900;3215-5127;3215-2127;04;19;dep.capitaoalden@camara.leg.br;Capitao Alden;Exmo. Senhor Deputado;ALDEN JOSE LAZARO DA SILVA
Capitão Augusto;PL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;883;Brasília - DF - CEP 70160-900;3215-5883;3215-2883;10;04;dep.capitaoaugusto@camara.leg.br;Capitao Augusto;Exmo. Senhor Deputado;JOSE AUGUSTO ROSA
Carla Dickson;UNIÃO;RN;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;656;Brasília - DF - CEP 70160-900;3215-5656;3215-2656;07;02;dep.carladickson@camara.leg.br;Carla Dickson;Exma. Senhora Deputada;HILKEA CARLA DE SOUZA MEDEIROS LIMA
Carla Zambelli;PL;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;885;Brasília - DF - CEP 70160-900;3215-5885;3215-2885;07;03;dep.carlazambelli@camara.leg.br;Carla Zambelli;Exma. Senhora Deputada;CARLA ZAMBELLI SALGADO DE OLIVEIRA
Carlos Chiodini;MDB;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;925;Brasília - DF - CEP 70160-900;3215-5925;3215-2925;03;08;dep.carloschiodini@camara.leg.br;Carlos Chiodini;Exmo. Senhor Deputado;CARLOS ALBERTO CHIODINI
Carlos Henrique Gaguim;UNIÃO;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;214;Brasília - DF - CEP 70160-900;3215-5214;3215-2214;04;21;dep.carloshenriquegaguim@camara.leg.br;Carlos Henrique Gaguim;Exmo. Senhor Deputado;CARLOS HENRIQUE AMORIM
Carlos Jordy;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;786;Brasília - DF - CEP 70160-900;3215-5786;3215-2786;02;08;dep.carlosjordy@camara.leg.br;Carlos Jordy;Exmo. Senhor Deputado;Carlos Roberto Coelho de Mattos Júnior
Carlos Sampaio;PSD;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;207;Brasília - DF - CEP 70160-900;3215-5207;3215-2207;03;31;dep.carlossampaio@camara.leg.br;Carlos Sampaio;Exmo. Senhor Deputado;CARLOS HENRIQUE FOCESI SAMPAIO
Carlos Veras;PT;PE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;870;Brasília - DF - CEP 70160-900;3215-5870;3215-2870;08;10;dep.carlosveras@camara.leg.br;Carlos Veras;Exmo. Senhor Deputado;JOSÉ CARLOS VERAS DOS SANTOS
Carlos Zarattini;PT;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;808;Brasília - DF - CEP 70160-900;3215-5808;3215-2808;06;08;dep.carloszarattini@camara.leg.br;Carlos Zarattini;Exmo. Senhor Deputado;CARLOS ALBERTO ROLIM ZARATTINI
Carol Dartora;PT;PR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;471;Brasília - DF - CEP 70160-900;3215-5471;3215-2471;05;01;dep.caroldartora@camara.leg.br;Carol Dartora;Exma. Senhora Deputada;ANA CAROLINA MOURA MELO DARTORA
Caroline de Toni;PL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;772;Brasília - DF - CEP 70160-900;3215-5772;3215-2772;09;01;dep.carolinedetoni@camara.leg.br;Caroline de Toni;Exma. Senhora Deputada;CAROLINE RODRIGUES DE TONI
Castro Neto;PSD;PI;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;803;Brasília - DF - CEP 70160-900;3215-5803;3215-2803;04;23;dep.castroneto@camara.leg.br;Castro Neto;Exmo. Senhor Deputado;JOSÉ DIAS DE CASTRO NETO
Célia Xakriabá;PSOL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;619;Brasília - DF - CEP 70160-900;3215-5619;3215-2619;05;10;dep.celiaxakriaba@camara.leg.br;Celia Xakriaba;Exma. Senhora Deputada;CÉLIA NUNES CORREA
Célio Silveira;MDB;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;511;Brasília - DF - CEP 70160-900;3215-5511;3215-2511;09;19;dep.celiosilveira@camara.leg.br;Celio Silveira;Exmo. Senhor Deputado;CELIO ANTONIO DA SILVEIRA
Célio Studart;PSD;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;634;Brasília - DF - CEP 70160-900;3215-5634;3215-2634;06;19;dep.celiostudart@camara.leg.br;Celio Studart;Exmo. Senhor Deputado;CELIO STUDART BARBOSA
Celso Russomanno;REPUBLICANOS;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;960;Brasília - DF - CEP 70160-900;3215-5960;3215-2960;08;20;dep.celsorussomanno@camara.leg.br;Celso Russomanno;Exmo. Senhor Deputado;CELSO UBIRAJARA RUSSOMANNO
Cezinha de Madureira;PSD;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;533;Brasília - DF - CEP 70160-900;3215-5533;3215-2533;12;12;dep.cezinhademadureira@camara.leg.br;Cezinha de Madureira;Exmo. Senhor Deputado;ANTONIO CEZAR CORREIA FREIRE
Charles Fernandes;PSD;BA;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;638;Brasília - DF - CEP 70160-900;3215-5638;3215-2638;03;15;dep.charlesfernandes@camara.leg.br;Charles Fernandes;Exmo. Senhor Deputado;CHARLES FERNANDES SILVEIRA SANTANA
Chico Alencar;PSOL;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;970;Brasília - DF - CEP 70160-900;3215-5970;3215-2970;10;19;dep.chicoalencar@camara.leg.br;Chico Alencar;Exmo. Senhor Deputado;FRANCISCO RODRIGUES DE ALENCAR FILHO
Chiquinho Brazão;S.PART.;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;507;Brasília - DF - CEP 70160-900;3215-5507;3215-2507;02;22;dep.chiquinhobrazao@camara.leg.br;Chiquinho Brazao;Exmo. Senhor Deputado;JOÃO FRANCISCO INÁCIO BRAZÃO
Chris Tonietto;PL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;446;Brasília - DF - CEP 70160-900;3215-5446;3215-2446;05;14;dep.christonietto@camara.leg.br;Chris Tonietto;Exma. Senhora Deputada;CHRISTINE NOGUEIRA DOS REIS TONIETTO
Clarissa Tércio;PP;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;506;Brasília - DF - CEP 70160-900;3215-5506;3215-2506;12;26;dep.clarissatercio@camara.leg.br;Clarissa Tercio;Exma. Senhora Deputada;ERICA CLARISSA BORBA CORDEIRO DE MOURA
Claudio Cajado;PP;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;630;Brasília - DF - CEP 70160-900;3215-5630;3215-2630;12;01;dep.claudiocajado@camara.leg.br;Claudio Cajado;Exmo. Senhor Deputado;CLÁUDIO CAJADO SAMPAIO
