"ano";"tipo_de_emenda";"autor_da_emenda";"numero_da_emenda";"localidade_do_gasto_regionalizacao";"funcao";"subfuncao";"programa_orcamentario";"acao_orcamentaria";"plano_orcamentario";"codigo_da_emenda";"valor_empenhado";"valor_liquidado";"valor_pago";"valor_restos_a_pagar_inscritos";"valor_restos_a_pagar_cancelados";"valor_restos_a_pagar_pagos";"x18";"autor_sanitized";"match_parlamentar";"nome_civil";"partido";"tipo"
2024;"Emenda Individual - Transferências com Finalidade Definida";"STYVENSON VALENTIM";"0010";"RIO GRANDE DO NORTE (UF)";"Comércio e serviços";"Promoção comercial";"2801 - NEOINDUSTRIALIZACAO, AMBIENTE DE NEGOCIOS E PARTICIPACAO ECONOMICA INTERNACIONAL";"210C - PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEMPREENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO";"PROMOCAO DO DESENVOLVIMENTO DE MICRO E PEQUENAS EMPRESAS, MICROEMPREENDEDOR INDIVIDUAL, POTENCIAL EMPREENDEDOR E ARTESANATO";202441420010;50000;50000;50000;NA;0;0;NA;"STYVENSON VALENTIM";"STYVENSON VALENTIM";NA;"PODEMOS";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"MENDONCA FILHO";"0011";"PERNAMBUCO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"5115 - PROMOCAO DO ACESSO A JUSTICA E DA DEFESA DOS DIREITOS";"20I7 - PROMOCAO DA POLITICA NACIONAL DE JUSTICA";"PROMOCAO DA POLITICA NACIONAL DE JUSTICA - DESPESAS DIVERSAS";202432990011;50000;0;0;NA;0;0;NA;"MENDONCA FILHO";"MENDONCA FILHO";"JOSÉ MENDONÇA BEZERRA FILHO";"UNIÃO";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"EVAIR VIEIRA DE MELO";"0009";"CASTELO - ES";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS";202430930009;54922,39;0;0;NA;0;0;NA;"EVAIR VIEIRA MELO";"EVAIR VIEIRA MELO";"EVAIR VIEIRA DE MELO";"PP";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"DELEGADO PALUMBO";"0013";"SÃO JOSÉ DOS CAMPOS - SP";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";202443490013;55542;0;0;NA;0;0;NA;"PALUMBO";"PALUMBO";"MARIO PALUMBO JUNIOR";"MDB";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"CLEITINHO";"0008";"MANHUMIRIM - MG";"Saúde";"Atenção básica";"5119 - ATENCAO PRIMARIA A SAUDE";"8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE E SAUDE BUCAL";"ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS";202442670008;65129;64937;64937;NA;0;0;NA;"CLEITINHO";"CLEITINHO";NA;"REPUBLICANOS";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"ROGERIO CORREIA";"0013";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"21B3 - FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO, INOVACAO E SUSTENTABILIDADE NA EDUCACAO PROFISSIONAL E TECNOLOGICA";"FOMENTO AS ACOES DE ENSINO, PESQUISA, EXTENSAO E INOVACAO NA EDUCACAO PROFISSIONAL E TECNOLOGICA";202440640013;75524,81;0;0;NA;0;0;NA;"ROGERIO CORREIA";"ROGERIO CORREIA";"ROGÉRIO CORREIA DE MOURA BAPTISTA";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"ERIKA KOKAY";"0005";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";202428260005;80000;0;0;NA;0;0;NA;"ERIKA KOKAY";"ERIKA KOKAY";"ÉRIKA JUCÁ KOKAY";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"PATRUS ANANIAS";"0013";"MINAS GERAIS (UF)";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";202414080013;89800;0;0;NA;0;0;NA;"PATRUS ANANIAS";"PATRUS ANANIAS";"PATRUS ANANIAS DE SOUZA";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"WELLINGTON FAGUNDES";"0004";"Nacional";"Defesa nacional";"Atenção básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";202438050004;90839,39;43076,43;42133,22;NA;0;0;NA;"WELLINGTON FAGUNDES";"WELLINGTON FAGUNDES";NA;"PL";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"CLEITINHO";"0001";"SANTO ANTÔNIO DO JACINTO - MG";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA - DESPESAS DIVERSAS";202442670001;95533,81;0;0;NA;0;0;NA;"CLEITINHO";"CLEITINHO";NA;"REPUBLICANOS";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0003";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";202412460003;98230;0;0;NA;0;0;NA;"JULIO CESAR";"JULIO CESAR";"JÚLIO CÉSAR DE CARVALHO LIMA";"PSD";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0010";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";202420980010;98900;9000;9000;NA;0;0;NA;"AFONSO HAMM";"AFONSO HAMM";"JOSÉ ALFONSO EBERT HAMM";"PP";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"AFONSO HAMM";"0011";"Nacional";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";202420980011;99440;45373;45373;NA;0;0;NA;"AFONSO HAMM";"AFONSO HAMM";"JOSÉ ALFONSO EBERT HAMM";"PP";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0004";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";202412460004;99462;0;0;NA;0;0;NA;"JULIO CESAR";"JULIO CESAR";"JÚLIO CÉSAR DE CARVALHO LIMA";"PSD";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JULIO CESAR";"0007";"PIAUÍ (UF)";"Segurança pública";"Policiamento";"5116 - SEGURANCA PUBLICA COM CIDADANIA";"21BM - DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE";"DESENVOLVIMENTO DE POLITICAS DE SEGURANCA PUBLICA, PREVENCAO E ENFRENTAMENTO A CRIMINALIDADE - DESPESAS DIVERSAS";202412460007;99462;0;0;NA;0;0;NA;"JULIO CESAR";"JULIO CESAR";"JÚLIO CÉSAR DE CARVALHO LIMA";"PSD";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"NETO CARLETTO";"0005";"PORTO SEGURO - BA";"Educação";"Ensino profissional";"5112 - EDUCACAO PROFISSIONAL E TECNOLOGICA QUE TRANSFORMA";"20RG - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES DA REDE FEDERAL DE EDUCACAO PROFISSIONAL, CIENTIFICA E TECNOLOGICA";202444380005;99582;0;0;NA;0;0;NA;"NETO CARLETTO";"NETO CARLETTO";"ORLANDO SULZ DE ALMEIDA NETO";"PP";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LAFAYETTE DE ANDRADA";"0002";"BELO HORIZONTE - MG";"Defesa nacional";"Educação básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"21GP - FUNCIONAMENTO DOS ESTABELECIMENTOS DE EDUCACAO BASICA MILITARES DO MINISTERIO DA DEFESA";"FUNCIONAMENTO DOS ESTABELECIMENTOS DE EDUCACAO BASICA MILITARES DO MINISTERIO DA DEFESA";202440290002;99725,1;94345,1;94345,1;NA;0;0;NA;"LAFAYETTE ANDRADA";"LAFAYETTE ANDRADA";"LAFAYETTE LUIZ DOORGAL DE ANDRADA";"REPUBLICANOS";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0020";"BAHIA (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"2303 - PESQUISA E INOVACAO AGROPECUARIA";"20Y6 - PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA";"PESQUISA, DESENVOLVIMENTO E TRANSFERENCIA DE TECNOLOGIAS PARA A AGROPECUARIA - DESPESAS DIVERSAS";202424680020;99764,08;99764,08;96199,4;NA;0;0;NA;"LIDICE MATA";"LIDICE MATA";"LÍDICE DA MATA E SOUZA";"PSB";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JUSSARA LIMA";"0005";"PIRIPIRI - PI";"Saúde";"Assistência hospitalar e ambulatorial";"5118 - ATENCAO ESPECIALIZADA A SAUDE";"8535 - ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE";"ESTRUTURACAO DE UNIDADES DE ATENCAO ESPECIALIZADA EM SAUDE - DESPESAS DIVERSAS";202444960005;99766;99766;99766;NA;0;0;NA;"JUSSARA LIMA";"JUSSARA LIMA";NA;"PSD";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"EROS BIONDINI";"0012";"BELO HORIZONTE - MG";"Defesa nacional";"Atenção básica";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"2E74 - ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";"ESTRUTURACAO E MODERNIZACAO DE UNIDADES DE SAUDE DAS FORCAS ARMADAS";202427590012;99859,96;0;0;NA;0;0;NA;"EROS BIONDINI";"EROS BIONDINI";"EROS FERREIRA BIONDINI";"PL";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"ANDRE FIGUEIREDO";"0014";"CEARÁ (UF)";"Defesa nacional";"Defesa terrestre";"6112 - DEFESA NACIONAL";"21A0 - APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA";"APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA - DESPESAS DIVERSAS";202420830014;99862;23052;23052;NA;0;0;NA;"ANDRE FIGUEIREDO";"ANDRE FIGUEIREDO";"ANDRÉ PEIXOTO FIGUEIREDO LIMA";"PDT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LIDICE DA MATA";"0004";"BAHIA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";202424680004;99869,85;23460;23460;NA;0;0;NA;"LIDICE MATA";"LIDICE MATA";"LÍDICE DA MATA E SOUZA";"PSB";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"TIRIRICA";"0007";"Nacional";"Defesa nacional";"Normatização e fiscalização";"6112 - DEFESA NACIONAL";"21BY - FISCALIZACAO DA NAVEGACAO AQUAVIARIA";"FISCALIZACAO DA NAVEGACAO AQUAVIARIA - DESPESAS DIVERSAS";202428180007;99984,95;99984,95;99984,95;NA;0;0;NA;"TIRIRICA";"TIRIRICA";"FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA";"PL";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"CHRIS TONIETTO";"0020";"Nacional";"Defesa nacional";"Formação de recursos humanos";"6112 - DEFESA NACIONAL";"20XR - CAPACITACAO PROFISSIONAL DA MARINHA";"CAPACITACAO PROFISSIONAL DA MARINHA - DESPESAS DIVERSAS";202439420020;99986,3;87777,85;82902,15;NA;0;0;NA;"CHRIS TONIETTO";"CHRIS TONIETTO";"CHRISTINE NOGUEIRA DOS REIS TONIETTO";"PL";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"ROBERTA ROMA";"0016";"BAHIA (UF)";"Defesa nacional";"Defesa terrestre";"6112 - DEFESA NACIONAL";"21A0 - APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA";"APRESTAMENTO DAS FORCAS - MANUTENCAO DA PRONTIDAO E DA CAPACIDADE OPERATIVA - DESPESAS DIVERSAS";202444620016;99989,25;99989,25;99989,25;NA;0;0;NA;"ROBERTA ROMA";"ROBERTA ROMA";"Roberta de Araujo Costa Roma";"PL";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"DELEGADA ADRIANA ACCORSI";"0023";"GOIÁS (UF)";"Defesa nacional";"Desporto comunitário";"6111 - COOPERACAO DA DEFESA PARA O DESENVOLVIMENTO NACIONAL";"20IG - APOIO AO PROGRAMA FORCAS NO ESPORTE (PROFESP) E PROJETO JOAO DO PULO (PJP)";"APOIO AO PROGRAMA FORCAS NO ESPORTE (PROFESP) E PROJETO JOAO DO PULO (PJP)";202443420023;99989,55;99989,55;99989,55;NA;0;0;NA;"ADRIANA ACCORSI";"ADRIANA ACCORSI";"ADRIANA SAUTHIER ACCORSI";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"HELDER SALOMAO";"0005";"Nacional";"Organização agrária";"Reforma agrária";"5136 - GOVERNANCA FUNDIARIA, REFORMA AGRARIA E REGULARIZACAO DE TERRITORIOS QUILOMBOLAS E DE POVOS E COMUNIDADES TRADICIONAIS";"211A - DESENVOLVIMENTO E GESTAO AMBIENTAL PARA O PUBLICO DA REFORMA AGRARIA";"DESENVOLVIMENTO E GESTAO AMBIENTAL PARA O PUBLICO DA REFORMA AGRARIA - DESPESAS DIVERSAS";202433120005;99990;0;0;NA;0;0;NA;"HELDER SALOMAO";"HELDER SALOMAO";"HELDER IGNACIO SALOMAO";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JUSSARA LIMA";"0004";"COLÔNIA DO PIAUÍ - PI";"Saúde";"Atenção básica";"5119 - ATENCAO PRIMARIA A SAUDE";"8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE E SAUDE BUCAL";"ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS";202444960004;99999;99999;99999;NA;0;0;NA;"JUSSARA LIMA";"JUSSARA LIMA";NA;"PSD";"senador"
2024;"Emenda Individual - Transferências com Finalidade Definida";"JULIO ARCOVERDE";"0003";"PIAUÍ (UF)";"Assistência social";"Assistência comunitária";"5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS";202444030003;1e+05;1e+05;1e+05;NA;0;0;NA;"JULIO ARCOVERDE";"JULIO ARCOVERDE";"JULIO FERRAZ ARCOVERDE";"PP";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LEONARDO MONTEIRO";"0020";"Nacional";"Saúde";"Difusão do conhecimento científico e tecnológico";"5121 - GESTAO, TRABALHO, EDUCACAO E TRANSFORMACAO DIGITAL NA SAUDE";"6179 - COMUNICACAO E INFORMACOES PARA A EDUCACAO EM SAUDE E EM CIENCIA E TECNOLOGIA";"COMUNICACAO E INFORMACOES PARA A EDUCACAO EM SAUDE E EM CIENCIA E TECNOLOGIA - DESPESAS DIVERSAS";202414030020;1e+05;10000;10000;NA;0;0;NA;"LEONARDO MONTEIRO";"LEONARDO MONTEIRO";"JOSÉ LEONARDO COSTA MONTEIRO";"PT";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"LAFAYETTE DE ANDRADA";"0001";"Nacional";"Cultura";"Difusão cultural";"5125 - DIREITO A CULTURA";"20ZF - PROMOCAO E FOMENTO A CULTURA BRASILEIRA";"PROMOCAO E FOMENTO A CULTURA BRASILEIRA";202440290001;1e+05;0;0;NA;0;0;NA;"LAFAYETTE ANDRADA";"LAFAYETTE ANDRADA";"LAFAYETTE LUIZ DOORGAL DE ANDRADA";"REPUBLICANOS";"deputado"
2024;"Emenda Individual - Transferências com Finalidade Definida";"EDUARDO GIRAO";"0019";"CEARÁ (UF)";"Desporto e lazer";"Desporto comunitário";"5126 - ESPORTE PARA A VIDA";"21CK - PROMOCAO E DESENVOLVIMENTO DO PARADESPORTO NACIONAL";"PROMOCAO E DESENVOLVIMENTO DO PARADESPORTO NACIONAL";202441380019;1e+05;1e+05;1e+05;NA;0;0;NA;"EDUARDO GIRAO";"EDUARDO GIRAO";NA;"NOVO";"senador"
